County,Year,Jobs
Alameda,2000,5887228
Alameda,2005,6055309
Alameda,2010,11032149
Alameda,2015,12087986
Alameda,2020,7004745
Alameda,2025,7238337
Alameda,2030,7575725
Alameda,2035,7896782
Alameda,2040,8332890
Contra Costa,2000,3751744
Contra Costa,2005,3986856
Contra Costa,2010,7411493
Contra Costa,2015,7903754
Contra Costa,2020,4489854
Contra Costa,2025,4737832
Contra Costa,2030,4937931
Contra Costa,2035,5182590
Contra Costa,2040,5377391
Marin,2000,1044374
Marin,2005,1053630
Marin,2010,1881919
Marin,2015,1995754
Marin,2020,1113754
Marin,2025,1124824
Marin,2030,1141786
Marin,2035,1149857
Marin,2040,1158563
Napa,2000,505385
Napa,2005,550855
Napa,2010,997793
Napa,2015,1056577
Napa,2020,585443
Napa,2025,601364
Napa,2030,618415
Napa,2035,636631
Napa,2040,642185
San Francisco,2000,3602564
San Francisco,2005,3529900
San Francisco,2010,6679307
San Francisco,2015,7579195
San Francisco,2020,4478018
San Francisco,2025,4647686
San Francisco,2030,4790248
San Francisco,2035,4970205
San Francisco,2040,5282779
San Mateo,2000,2895957
San Mateo,2005,2862519
San Mateo,2010,5297265
San Mateo,2015,5731889
San Mateo,2020,3274521
San Mateo,2025,3340938
San Mateo,2030,3468334
San Mateo,2035,3570775
San Mateo,2040,3710568
Santa Clara,2000,6877566
Santa Clara,2005,6886295
Santa Clara,2010,12981906
Santa Clara,2015,14267371
Santa Clara,2020,8051194
Santa Clara,2025,8469325
Santa Clara,2030,8892301
Santa Clara,2035,9506274
Santa Clara,2040,10055178
Solano,2000,1478728
Solano,2005,1585184
Solano,2010,2846017
Solano,2015,2943249
Solano,2020,1635399
Solano,2025,1705363
Solano,2030,1769444
Solano,2035,1818472
Solano,2040,1890676
Sonoma,2000,1879869
Sonoma,2005,1955799
Sonoma,2010,3481696
Sonoma,2015,3696968
Sonoma,2020,2094854
Sonoma,2025,2184693
Sonoma,2030,2289273
Sonoma,2035,2353910
Sonoma,2040,2396881
