,TotalPop,HouseholdPop,EstHouseholds,Year,Net_Migration,Immigration,Domestic_Migration,Population,Employers,Employees,AvgAnnualPay,New Homes Constructed,HousingUnits,Avg.Median Home price,Interest_Rate,HAI,HU_HH_Ratio,Pop_HU_Ratio
0,6063929,5914746,2268498,1991,26173,45028,-18855,6063929,184128,2942366,28240.44444,16396,2385091,234197,9.34,20.53846154,1.051396563,269.2854059
1,6150405,5996580,2288446,1992,32671,49980,-17309,6150405,195298,2887645,30080.88889,16857,2401487,233964,8.11,25.54545455,1.049396403,270.3091153
2,6236622,6084002,2308925,1993,30248,50644,-20396,6236622,202087,2879500,30708.55556,13781,2418344,232320,7.13,31.75,1.047389586,269.7990138
3,6296661,6144064,2326344,1994,-13351,41806,-55157,6296661,199363,2900397,31565.11111,14482,2432125,238903,7.49,30.33333333,1.045470919,268.9076773
4,6330094,6180022,2344173,1995,-18169,32940,-51109,6330094,214307,2964060,32787.77778,14371,2446607,239315,7.85,28.58333333,1.043697287,267.5617957
5,6375868,6226805,2361460,1996,15409,41153,-25744,6375868,211511,3078411,34109.44444,14641,2460978,247183,7.74,29,1.042142573,264.472958
6,6462873,6319290,2377851,1997,65206,43495,21711,6462873,205387,3182397,36455.22222,21330,2475619,268918,7.68,27.91666667,1.041116117,260.5452063
7,6566673,6424287,2402456,1998,48477,34007,14470,6566673,225328,3303428,38529.55556,23432,2496949,300666,7.1,27.83333333,1.039331834,256.6840209
8,6659001,6516283,2429417,1999,42419,28288,14131,6659001,230764,3391396,41957,26665,2520381,346852,7.25,24.08333333,1.037442728,254.3866227
9,7216004,7061916,2632156,2000,73140,49277,23863,6757390,220469,3545274,48065.66667,24568,2547046,433890,7.96,15.58333333,0.96766529,240.1244816
10,6833626,6690747,2478536,2001,4137,64164,-60027,6833626,223967,3484810,47599.11111,26031,2571614,459898,7.03,18.41666667,1.03755362,252.724642
11,6869180,6725269,2495135,2002,-35043,50946,-85989,6869180,229892,3312546,47053.88889,26850,2597645,492415,6.51,17.66666667,1.041083949,258.7859011
12,6883559,6739520,2512540,2003,-38240,46260,-84500,6883559,233673,3213125,48564,22853,2624495,533347,5.73,17.66666667,1.044558495,263.698243
13,6895600,6751793,2526524,2004,-39587,44750,-84337,6895600,235152,3191936,51268.44444,27564,2647348,622158,5.74,15.16666667,1.047822225,266.2329193
14,6900602,6755414,2543939,2005,-50900,40793,-91693,6900602,233767,3213983,53536.55556,27432,2674912,685463,5.9,11.58333333,1.051484332,268.3123162
15,6915872,6769472,2561334,2006,-18470,42681,-61151,6915872,243762,3275561,55934.88889,23425,2702344,705118,6.6,17.5,1.055053343,269.0229091
16,6964364,6816732,2576661,2007,13382,48769,-35387,6964364,244618,3323630,58833.66667,24210,2725769,737634,6.49,12.75,1.057868691,268.8039145
17,7033325,6883582,2592269,2008,20441,50475,-30034,7033325,261389,3339608,59286.77778,18582,2749979,514364,6.14,18.75,1.060838594,268.994218
18,7094889,6946320,2601232,2009,237,40600,-40363,7094889,262732,3149813,59635.11111,14559,2768561,392988,5.14,29.75,1.064326827,274.2199414
19,7147042,6999426,2606494,2010,864,33355,-32491,7150739,265160,3113584,61176.88889,7000,2783120,449088,4.91,34,1.067763824,275.2019428
20,7220091,7067538,2621262,2011,37827,34036,3791,7220443,273678,3165974,63325.22222,8552,2790120,414028,4.68,39,1.064418589,272.6454027
21,7301518,7150464,2636016,2012,53215,32109,21106,7300094,267868,3284023,67361.88889,9202,2798672,464912,3.77,39.5,1.06170524,268.2136649
22,7401400,7250714,2647386,2013,51214,32075,19139,7397842,271084,3405221,68285.33333,14406,2807874,607240,3.98,28.25,1.060621307,263.5032965
23,7487985,7336722,2663591,2014,52400,39512,12888,7483757,280626,3525908,70528.55556,17307,2822280,677001,4.28,23.25,1.05957709,259.8155327
24,7578345,7427734,2688271,2015,46773,48715,-1942,7571297,289007,3666533,73802.55556,15832,2839587,730536,4.03,24,1.05628748,255.9508438
25,7652200,7503306,2708696,2016,22237,51657,-29420,7649565,296323,3778951,76366.55556,18572,2855419,784812,3.83,24.75,1.054167393,253.089342
